# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:11, wqMQNIlzdGk, 0.010, 0.108, 0.000, 0.001, 0.054, 0.035, 0.043
00:11, wqMQNIlzdGk, 0.009, 0.110, 0.000, 0.001, 0.055, 0.035, 0.043
00:11, wqMQNIlzdGk, 0.008, 0.112, 0.000, 0.001, 0.056, 0.035, 0.044
00:11, wqMQNIlzdGk, 0.009, 0.115, 0.000, 0.001, 0.057, 0.037, 0.045
00:11, wqMQNIlzdGk, 0.009, 0.117, 0.000, 0.001, 0.059, 0.037, 0.046
00:11, wqMQNIlzdGk, 0.008, 0.121, 0.000, 0.002, 0.061, 0.038, 0.047
00:11, wqMQNIlzdGk, 0.008, 0.124, 0.000, 0.002, 0.062, 0.039, 0.048
00:11, wqMQNIlzdGk, 0.007, 0.124, 0.000, 0.002, 0.062, 0.039, 0.048
00:11, wqMQNIlzdGk, 0.008, 0.120, 0.000, 0.002, 0.060, 0.038, 0.047
00:11, wqMQNIlzdGk, 0.007, 0.118, 0.000, 0.002, 0.059, 0.037, 0.046
00:12, wqMQNIlzdGk, 0.007, 0.118, 0.000, 0.002, 0.059, 0.037, 0.046
00:12, wqMQNIlzdGk, 0.006, 0.119, 0.000, 0.002, 0.060, 0.037, 0.046
00:12, wqMQNIlzdGk, 0.006, 0.120, 0.005, 0.003, 0.062, 0.039, 0.048
00:12, wqMQNIlzdGk, 0.005, 0.120, 0.003, 0.002, 0.062, 0.038, 0.048
00:12, wqMQNIlzdGk, 0.005, 0.120, 0.002, 0.001, 0.061, 0.038, 0.047
00:12, wqMQNIlzdGk, 0.004, 0.119, 0.002, 0.001, 0.060, 0.037, 0.047
00:12, wqMQNIlzdGk, 0.004, 0.122, 0.001, 0.001, 0.062, 0.038, 0.047
00:12, wqMQNIlzdGk, 0.004, 0.125, 0.001, 0.001, 0.063, 0.039, 0.048
00:12, wqMQNIlzdGk, 0.004, 0.125, 0.001, 0.001, 0.063, 0.039, 0.048
00:12, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.001, 0.063, 0.038, 0.048
00:12, wqMQNIlzdGk, 0.004, 0.124, 0.000, 0.001, 0.062, 0.038, 0.048
00:12, wqMQNIlzdGk, 0.005, 0.123, 0.000, 0.004, 0.062, 0.039, 0.048
00:12, wqMQNIlzdGk, 0.005, 0.122, 0.000, 0.006, 0.061, 0.039, 0.048
00:12, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.007, 0.062, 0.040, 0.049
00:12, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.008, 0.063, 0.040, 0.049
00:12, wqMQNIlzdGk, 0.004, 0.127, 0.000, 0.009, 0.063, 0.041, 0.050
00:12, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.010, 0.063, 0.040, 0.049
00:13, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.010, 0.063, 0.041, 0.049
00:13, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.010, 0.063, 0.040, 0.049
00:13, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.010, 0.063, 0.041, 0.049
00:13, wqMQNIlzdGk, 0.005, 0.127, 0.000, 0.019, 0.064, 0.043, 0.051
00:13, wqMQNIlzdGk, 0.005, 0.127, 0.000, 0.025, 0.064, 0.044, 0.052
00:13, wqMQNIlzdGk, 0.005, 0.128, 0.000, 0.029, 0.064, 0.045, 0.052
00:13, wqMQNIlzdGk, 0.005, 0.128, 0.000, 0.032, 0.064, 0.045, 0.053
00:13, wqMQNIlzdGk, 0.005, 0.129, 0.000, 0.034, 0.064, 0.046, 0.053
00:13, wqMQNIlzdGk, 0.004, 0.129, 0.000, 0.035, 0.064, 0.047, 0.054
00:13, wqMQNIlzdGk, 0.004, 0.127, 0.000, 0.036, 0.064, 0.046, 0.053
00:13, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.037, 0.063, 0.046, 0.053
00:13, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.037, 0.063, 0.046, 0.053
00:13, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.243, 0.063, 0.087, 0.077
00:13, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.388, 0.063, 0.116, 0.095
00:13, wqMQNIlzdGk, 0.004, 0.124, 0.000, 0.489, 0.062, 0.136, 0.106
00:13, wqMQNIlzdGk, 0.004, 0.123, 0.000, 0.560, 0.061, 0.150, 0.114
